t,chi_hhi_star,lambda2,total_weight,load_cv
0.0,7.709829853629861e-07,1.0008826258055858,127.9866726529271,0.0008582231813160825
2.0,7.685086632500165e-07,0.8350944342177012,106.67100236001603,0.00035400835089314473
4.0,7.681113501974129e-07,0.8079978691359134,103.19851873852622,0.00015932316921002642
6.0,7.68080843778843e-07,0.8027157682218806,102.52421769622866,7.760363075667482e-05
8.0,7.681587084086783e-07,0.801647490230228,102.38904866099034,4.686271461748563e-05
10.0,7.682954187815762e-07,0.8014250889704645,102.36177722524855,3.815753804176132e-05
12.0,7.684811143715851e-07,0.8013740324242103,102.35626151191663,3.636525678943554e-05
14.0,7.687138775637178e-07,0.8013578687860032,102.35513740566918,3.610013069889091e-05
16.0,7.689934020588025e-07,0.8013488343426518,102.3548983160812,3.610129518899187e-05
18.0,7.69319716647624e-07,0.8013412265096689,102.35483584092883,3.6133657286744036e-05
20.0,7.696929291722006e-07,0.8013338502673623,102.35480685365945,3.6163722088292554e-05
22.0,7.701131760393763e-07,0.8013264441432469,102.35478243138712,3.6191350883951885e-05
24.0,7.705806127399231e-07,0.8013189455586094,102.35475672375694,3.621957793544388e-05
26.0,7.710954123502244e-07,0.8013113367315045,102.35472854110864,3.6250432507908245e-05
28.0,7.716577655050122e-07,0.8013036109876791,102.35469763459014,3.6284985094433164e-05
30.0,7.722678806032852e-07,0.8012957648017808,102.35466394459435,3.632376667151769e-05
32.0,7.729259840423096e-07,0.8012877956694797,102.35462744890741,3.63670417299485e-05
34.0,7.736323204536916e-07,0.8012797014426505,102.35458813201979,3.641494985896827e-05
36.0,7.743871529477421e-07,0.8012714800885516,102.35454597891578,3.6467573991480683e-05
38.0,7.751907633705367e-07,0.8012631295925163,102.3545009738074,3.652497237827103e-05
40.0,7.760434525772363e-07,0.8012546479156737,102.35445309986663,3.6587193401147406e-05
42.0,7.769455407235368e-07,0.8012460329754976,102.35440233915799,3.665428241489627e-05
44.0,7.778973675760214e-07,0.8012372826362123,102.354348672611,3.6726284917213975e-05
