t,chi_hhi,lambda2,w_total
0.0,0.0016370745947948836,0.6514227469327954,97.06076112737254
0.5,0.0016395421679905823,0.5226684727341085,77.66786648602863
1.0,0.001649151799430437,0.44311837488954114,65.94249065806372
1.5,0.0016658560469761125,0.3888728760791438,58.10029405346725
2.0,0.0016899794275352972,0.34921584447256826,52.47651033637077
2.5,0.0017221398328045032,0.31860261069888585,48.22127858823542
3.0,0.0017632601562735583,0.2938577932443288,44.85279691346445
3.5,0.0018146257287449047,0.27301368132697695,42.07523663967426
4.0,0.0018779834100665872,0.2546618472759091,39.69484254241035
4.5,0.0019556935571522303,0.23625655618074123,37.57755477683244
5.0,0.0020509590596836874,0.2184583712281951,35.626039314002796
5.5,0.0021681741288406935,0.20107257975322193,33.766561171060744
6.0,0.00231346746694657,0.1837987210950585,31.941231247568385
6.5,0.0024955742582604863,0.16644573491395503,30.103431010901218
7.0,0.0027272905674262833,0.14893023514645157,28.215327911914272
7.5,0.0030280175698259902,0.1312821231984088,26.24699290727584
8.0,0.0034284886629239453,0.11365227496737396,24.176997870393322
8.5,0.003980252647881754,0.09631348176630816,21.994620242976005
9.0,0.004776565042002754,0.07964469646588895,19.70391691273204
9.5,0.006002887238596346,0.0640914275622848,17.329697836336347
10.0,0.008062221633038278,0.05010238967316143,14.923837435690363
10.5,0.011834215710935616,0.037427881396775664,12.566748080229331
11.0,0.018965218674342463,0.023938750677469547,10.35957426874298
11.5,0.03202318672749502,0.01480847468640295,8.412160867239724
12.0,0.05502497301965455,0.008995773097512578,6.829851336262077
12.5,0.09291493756725865,0.005410871020563598,5.694819855541113
13.0,0.1475381348758675,0.0032341016026599676,5.052832974952448
13.5,0.21513796948148617,0.0019227751257364363,4.917791541093889
14.0,0.28907459916152184,0.0011367058312436388,5.290315896361643
14.5,0.36286480121531034,0.0006675542595071261,6.175801232473122
15.0,0.43073373849851593,0.000388934506520798,7.589170072367143
15.5,0.48951168965078856,0.00022448000821124057,9.551323113824822
16.0,0.5392880351065532,0.00012815519375535266,12.0862084642105
16.5,0.5804701251892876,7.227143585039196e-05,15.210909994999547
17.0,0.6124079355158699,4.022677788762988e-05,18.90708831148756
17.5,0.635750999974905,2.211349557866202e-05,23.093350448412856
18.0,0.6525664264397151,1.205428662259502e-05,27.618349599134874
18.5,0.6647618159276267,6.573292746911465e-06,32.282332128744834
19.0,0.6739872937263229,3.6156404531708527e-06,36.87033846122181
19.5,0.6817743081200489,2.0074564267825313e-06,41.12096275064492
20.0,0.6890740064127948,1.120672618776649e-06,44.78489218323787
20.5,0.6959106311443659,6.2697542271408e-07,47.76187551750216
21.0,0.7017853923107559,3.509714554656416e-07,50.03138998936347
21.5,0.7059601282742707,1.9649054980691303e-07,51.68092012772196
22.0,0.7082427888898752,1.1003739115345483e-07,52.8917217736769
22.5,0.7094414054685397,6.166511350500524e-08,53.70439642026683
23.0,0.7107236927503628,3.350337406776911e-08,53.947997848854804
23.5,0.7126066685857302,1.6251838517710495e-08,53.745526195567784
24.0,0.7146730813570904,7.891147701258718e-09,53.603555209812356
24.5,0.7163569899218948,3.839951528837348e-09,53.692383573761354
25.0,0.7176177331580886,1.8729347490046895e-09,53.84165267447942
25.5,0.7192449354765448,9.156967145656434e-10,53.92934986460493
26.0,0.7219733592130502,4.486572826316512e-10,53.93538911271146
26.5,0.7261281484699036,2.2017484926989875e-10,53.75209466574942
27.0,0.7320224256363725,1.0804919496275671e-10,53.35523118400709
27.5,0.739107925891992,5.271323195893917e-11,52.91792617258692
28.0,0.7459061881584795,2.5146408030103034e-11,52.44770921643635
28.5,0.7511580306004273,1.174217420854468e-11,52.11707745204904
29.0,0.7546796235913781,5.4546257754583535e-12,52.0731288644562
29.5,0.7573987579762319,2.528166902688041e-12,52.19907490501688
30.0,0.7607408829871256,1.1710189670912373e-12,52.350045303256785
30.5,0.7656206481624777,5.427912085240357e-13,52.434164355053426
31.0,0.771522198112669,2.5148756201452705e-13,52.42917543581641
31.5,0.7771964077832529,1.1651053567750622e-13,52.25170396210024
32.0,0.7821834142772026,5.3462744917725864e-14,51.92931293715307
32.5,0.7865802696641423,2.4737524307444762e-14,51.46488353304036
33.0,0.7902030415061937,1.1819902863244306e-14,51.0086682709764
33.5,0.7931719289225696,6.957018984555544e-15,50.4794235241017
34.0,0.7959022387940677,2.4037877669239094e-15,49.69905981645798
34.5,0.7981727755904031,9.227221333159304e-16,48.64755603696857
35.0,0.7995226220222,9.316765974040929e-16,47.538416552439436
35.5,0.7999912419081178,3.835639296270559e-16,46.52283321121392
36.0,0.7998633324674983,3.308816256052096e-16,45.73098312120216
36.5,0.7993525058211022,0.0,45.08357339218187
37.0,0.7985756439222379,6.305410079691811e-17,44.503844943567415
37.5,0.7975726677116056,0.0,43.82797790704878
38.0,0.7963014934198485,0.0,42.922914508547464
38.5,0.7948706098594831,0.0,42.0050106145863
39.0,0.7933654729966437,0.0,41.2209547885294
39.5,0.791511250499206,0.0,40.58368189080409
40.0,0.7890103031201711,0.0,40.05725052450567
40.5,0.7856725845547066,0.0,39.70274718044823
41.0,0.781383665021514,0.0,39.524659125430006
41.5,0.7760940923943875,0.0,39.42842325905319
42.0,0.7697732535355959,0.0,39.320727954197345
42.5,0.7623449778258866,0.0,39.23281150622107
43.0,0.7536203230394991,0.0,39.212810889338385
43.5,0.7432419953162349,0.0,39.240938039282604
44.0,0.7307090228883485,0.0,39.28912472579775
44.5,0.7155199208658791,0.0,39.34136731124213
45.0,0.6974185261536108,0.0,39.390574213645394
45.5,0.6766034529901446,0.0,39.434332948344135
46.0,0.653686405670225,0.0,39.4723857189961
46.5,0.6294342358642517,0.0,39.50531578942365
47.0,0.6046349295233094,0.0,39.53391706561997
47.5,0.5802103570758276,0.0,39.55892565822599
48.0,0.5572247433479447,0.0,39.58093289176789
48.5,0.5365792808652727,0.0,39.60038198276946
49.0,0.5187315511743378,0.0,39.61759736055323
49.5,0.5037756163354485,0.0,39.63282126350421
50.0,0.49165410520558295,0.0,39.646246061313875
50.5,0.48209732785521764,0.0,39.65803811466623
51.0,0.4744457278613671,0.0,39.66835281339317
51.5,0.4677332158077842,0.0,39.67734225903973
52.0,0.46099033584160876,0.0,39.68515770073013
52.5,0.45355080134289866,0.0,39.69194879114717
53.0,0.4452607055288591,0.0,39.69786133926941
