t,chi_hhi,lambda2,w_total
0.0,2.3549848117948705e-06,0.738003180662579,94.73180478247619
0.5,2.3516464319946166e-06,0.7383716147105712,94.68694097122264
1.0,2.3493260129381496e-06,0.738706945940817,94.65598234947493
1.5,2.3477172320672585e-06,0.7389948927093435,94.63461402908014
2.0,2.3466084783652213e-06,0.7392270232473632,94.6198626940886
2.5,2.3458534714946225e-06,0.7393984363341664,94.60967803587201
3.0,2.345351046235986e-06,0.7395090170844474,94.60264553433454
3.5,2.3450312165133826e-06,0.7395693929836209,94.59778897535135
4.0,2.3448455557663778e-06,0.7395996908989473,94.59443448010866
4.5,2.344760550822201e-06,0.7396156564167522,94.59211679691234
5.0,2.3447530073267327e-06,0.7396246006476306,94.59051467662967
5.5,2.3448068721214166e-06,0.7396295311170135,94.58940628485098
6.0,2.3449110349567603e-06,0.7396318120396619,94.58863842870016
6.5,2.3450578074141683e-06,0.7396321404331707,94.58810531347103
7.0,2.3452418702663424e-06,0.739630850639555,94.58773387569423
7.5,2.345459544940938e-06,0.7396279682409733,94.58747365568445
8.0,2.3457082892580716e-06,0.7396236933974837,94.58728980408183
8.5,2.3459863483782e-06,0.7396188176971273,94.58715825232136
9.0,2.346292513173486e-06,0.7396138337234719,94.58706237735305
9.5,2.3466259529511784e-06,0.739608881833939,94.58699069824146
10.0,2.3469860996441243e-06,0.739603990115453,94.5869352853741
10.5,2.347372567626235e-06,0.7395991560489893,94.58689066180591
11.0,2.347785098191296e-06,0.7395943689675559,94.5868530444848
11.5,2.348223521103378e-06,0.7395896167943368,94.58681982020981
12.0,2.3486877279688203e-06,0.7395848881780465,94.58678918370472
12.5,2.3491776537912648e-06,0.739580173112774,94.58675988765526
13.0,2.349693264194957e-06,0.7395754630223795,94.58673107007311
13.5,2.3502345465707678e-06,0.7395707506558128,94.5867021350656
14.0,2.3508015039418516e-06,0.7395660299246836,94.58667267048935
14.5,2.351394150711452e-06,0.7395612957343047,94.58664239107816
15.0,2.352012509714586e-06,0.739556543827566,94.58661109916419
15.5,2.3526566101754416e-06,0.739551770647825,94.58657865755019
16.0,2.35332648628971e-06,0.7395469732215303,94.58654497077353
16.5,2.354022176242434e-06,0.7395421490591229,94.58650997216617
17.0,2.3547437215268665e-06,0.7395372960720208,94.58647361491751
17.5,2.355491166473855e-06,0.7395324125034103,94.58643586590188
18.0,2.356264557924479e-06,0.7395274968706965,94.58639670141523
18.5,2.3570639450059418e-06,0.7395225479177382,94.58635610423059
19.0,2.357889378976488e-06,0.739517564575244,94.58631406156437
19.5,2.3587409131196515e-06,0.7395125459279548,94.58627056367138
20.0,2.3596186026736302e-06,0.7395074911874621,94.58622560287452
20.5,2.3605225047827122e-06,0.7395023996697047,94.58617917289436
21.0,2.3614526784681837e-06,0.7394972707763351,94.58613126838603
21.5,2.362409184608727e-06,0.7394921039793001,94.586081884619
22.0,2.3633920859306585e-06,0.7394868988080764,94.58603101725603
22.5,2.3644014470035262e-06,0.7394816548391101,94.5859786622
23.0,2.36543733424077e-06,0.7394763716870755,94.58592481548817
23.5,2.3664998159026313e-06,0.7394710489976435,94.58586947321888
24.0,2.3675889621018917e-06,0.7394656864414973,94.58581263150063
24.5,2.368704844811563e-06,0.739460283709381,94.58575428641697
25.0,2.369847537873847e-06,0.7394548405080018,94.58569443400164
25.5,2.3710171170091996e-06,0.7394493565566377,94.58563307022165
26.0,2.3722136598284347e-06,0.7394438315843316,94.585570190965
26.5,2.373437245843094e-06,0.739438265327566,94.58550579203217
27.0,2.3746879564781495e-06,0.7394326575283382,94.58543986913006
27.5,2.375965875084941e-06,0.7394270079325646,94.58537241786729
28.0,2.3772710869536604e-06,0.7394213162887587,94.58530343375114
28.5,2.378603679327751e-06,0.7394155823469332,94.58523291218484
29.0,2.379963741417697e-06,0.7394098058576878,94.58516084846553
29.5,2.381351364415951e-06,0.7394039865714526,94.5850872377828
30.0,2.382766641511574e-06,0.7393981242378562,94.5850120752171
30.5,2.3842096679060957e-06,0.739392218605199,94.58493535573865
31.0,2.3856805408290217e-06,0.7393862694200133,94.58485707420621
31.5,2.387179359554146e-06,0.739380276426694,94.58477722536614
32.0,2.3887062254164367e-06,0.7393742393671886,94.58469580385123
32.5,2.3902612418290514e-06,0.7393681579807345,94.58461280417988
33.0,2.3918445143006552e-06,0.7393620320036369,94.58452822075495
33.5,2.393456150453575e-06,0.7393558611690791,94.58444204786286
34.0,2.3950962600420634e-06,0.7393496452069601,94.58435427967261
34.5,2.396764954971e-06,0.7393433838437535,94.58426491023465
35.0,2.398462349315264e-06,0.7393370768023843,94.58417393347999
35.5,2.4001885593390724e-06,0.7393307238021218,94.58408134321908
36.0,2.401943703516459e-06,0.7393243245584834,94.58398713314077
36.5,2.4037279025513695e-06,0.7393178787831485,94.58389129681115
37.0,2.405541279398961e-06,0.7393113861838795,94.58379382767254
37.5,2.407383959286869e-06,0.7393048464644512,94.58369471904237
38.0,2.4092560697372585e-06,0.7392982593245827,94.58359396411183
38.5,2.4111577405886814e-06,0.7392916244598752,94.58349155594493
39.0,2.4130891040200045e-06,0.7392849415617528,94.58338748747714
39.5,2.4150502945726153e-06,0.7392782103174037,94.58328175151419
40.0,2.4170414491747393e-06,0.7392714304097268,94.58317434073082
40.5,2.4190627071659297e-06,0.7392646015172758,94.58306524766948
41.0,2.4211142103216337e-06,0.7392577233142068,94.58295446473903
41.5,2.423196102878849e-06,0.7392507954702258,94.58284198421337
42.0,2.4253085315614804e-06,0.7392438176505352,94.58272779823012
42.5,2.4274516456075093e-06,0.739236789515782,94.58261189878914
43.0,2.429625596795552e-06,0.7392297107220058,94.58249427775118
43.5,2.4318305394723497e-06,0.7392225809205846,94.58237492683634
44.0,2.4340666305809193e-06,0.7392153997581812,94.58225383762266
44.5,2.436334029689399e-06,0.7392081668766903,94.58213100154455
45.0,2.438632899020137e-06,0.7392008819131823,94.58200640989129
45.5,2.4409634034796505e-06,0.7391935444998476,94.58188005380535
46.0,2.4433257106890904e-06,0.7391861542639409,94.58175192428085
46.5,2.445719991015089e-06,0.739178710827722,94.58162201216192
47.0,2.4481464176015667e-06,0.7391712138083985,94.58149030814097
47.5,2.450605166402761e-06,0.7391636628180648,94.581356802757
48.0,2.453096416214831e-06,0.7391560574636414,94.58122148639382
48.5,2.455620348710672e-06,0.7391483973468136,94.58108434927831
49.0,2.458177148474103e-06,0.739140682063967,94.58094538147859
49.5,2.4607670030341948e-06,0.7391329112061223,94.58080457290208
50.0,2.463390102901745e-06,0.7391250843588717,94.58066191329374
50.5,2.466046641605413e-06,0.7391172011023088,94.58051739223401
51.0,2.4687368157288524e-06,0.7391092610109613,94.58037099913692
