t,chi_hhi,lambda2,w_total
0.0,3.8318507242679684e-05,0.7900570770458432,51.13041356763752
0.5,3.8226507924464996e-05,0.7890104632685928,50.9709134016044
1.0,3.817727461277603e-05,0.7883244075113359,50.864196471494935
1.5,3.815903570638303e-05,0.7878537675965369,50.79261311079894
2.0,3.816396937760434e-05,0.7875012776346729,50.744471054906434
2.5,3.8186863278782643e-05,0.7872137879215854,50.711987836447484
3.0,3.8224243547531e-05,0.7869660443949477,50.689966788066016
3.5,3.827380167758922e-05,0.786745671910769,50.67493034844388
4.0,3.833401415810752e-05,0.7865452624805938,50.66454789479039
4.5,3.840388859508163e-05,0.7863593914129364,50.65725582003832
5.0,3.848279362276045e-05,0.7861837168093037,50.65200426699964
5.5,3.857034469277847e-05,0.7860147218517815,50.648087844811755
6.0,3.866632729846657e-05,0.7858495938086576,50.64503227565902
6.5,3.877064535962976e-05,0.7856861136167012,50.64251840054165
7.0,3.8883286557609666e-05,0.7855225439324621,50.64033118938665
7.5,3.900429911079146e-05,0.7853575249921634,50.63832550908896
8.0,3.913377628492485e-05,0.7851899853274555,50.636403132854454
8.5,3.9271846142718063e-05,0.7850190693990667,50.634497294765026
9.0,3.9418664850965576e-05,0.7848440810335507,50.632562310703456
9.5,3.95744124117574e-05,0.7846644401971229,50.63056660199007
10.0,3.973929005424393e-05,0.7844796503838705,50.62848800468413
10.5,3.991351877329183e-05,0.7842892741514536,50.626310614280044
11.0,4.0097338670309454e-05,0.784092914768097,50.62402266176515
11.5,4.0291008865914565e-05,0.7838902023752472,50.621615082374134
12.0,4.0494807831695034e-05,0.7836807834537268,50.61908054945546
12.5,4.070903404109295e-05,0.7834643126896529,50.61641282049112
13.0,4.0934006875501936e-05,0.7832404465735457,50.6136062924476
13.5,4.11700677464803e-05,0.7830088382433498,50.61065569732121
14.0,4.1417581412268184e-05,0.7827691332122619,50.60755589137126
14.5,4.167693747906782e-05,0.7825209657167002,50.604301706735825
15.0,4.1948552086488666e-05,0.7822639554876418,50.600887844333826
15.5,4.2232869783394646e-05,0.781997704797089,50.59730879381028
16.0,4.253036560585605e-05,0.7817217956658145,50.59355877087794
16.5,4.284154737364213e-05,0.7814357871428299,50.58963166548809
17.0,4.3166958226029014e-05,0.7811392125837769,50.58552099632154
17.5,4.3507179421993114e-05,0.7808315768669251,50.58121986846111
18.0,4.3862833434311915e-05,0.780512353492817,50.576720932013416
18.5,4.42345873719193e-05,0.7801809815179953,50.572016340039724
19.0,4.462315677023451e-05,0.7798368622752344,50.56709770453425
19.5,4.5029309795274474e-05,0.7794793558327773,50.561956049419834
20.0,4.545387191435925e-05,0.7791077771435235,50.55658175966068
20.5,4.5897731094350096e-05,0.7787213918320492,50.550964525647984
21.0,4.6361843597818485e-05,0.7783194115628705,50.545093282016836
