t,chi_hhi,lambda2,w_total
0.0,0.0008806242211062102,0.7266377904450242,51.26887647976774
0.5,0.0008789697889616816,0.6826158891518441,47.569200442696584
1.0,0.0008813658853250091,0.6520713373608403,45.18339666316862
1.5,0.0008874899630744852,0.6263120626096376,43.573610254751216
2.0,0.0008972744975359217,0.6072712302429706,42.445917066565
2.5,0.0009108240556493194,0.5927412170646413,41.62594668972659
3.0,0.0009283867790484302,0.5811828752534602,41.003716249423604
3.5,0.0009503521027135885,0.571529668603557,40.50642856861153
4.0,0.0009772655913615979,0.5629582320371143,40.08387780385339
4.5,0.0010098591524890068,0.5546061591442825,39.70004664885525
5.0,0.0010490988839110746,0.545916166069335,39.327960050617385
5.5,0.0010962562249099885,0.5368260167378737,38.94634761985113
6.0,0.001153012317476733,0.5271168574092437,38.53735144102514
6.5,0.0012216118648931224,0.5164773293247551,38.0848511382586
7.0,0.00130509323286268,0.5045223213312698,37.57315173552258
7.5,0.0014076395008374594,0.4907550016585368,36.98587648005709
8.0,0.0015351272013016002,0.4745923516648935,36.304968723162204
8.5,0.0016960088257199205,0.4554745409165662,35.50976077397836
9.0,0.0019027800163855589,0.43284980922304694,34.576138302355844
9.5,0.002174516659758343,0.406073461365285,33.475950466354604
10.0,0.0025414779053051263,0.37438403320923047,32.17704241552866
10.5,0.003053982438332617,0.33694435897322383,30.64469973400137
11.0,0.0038009381396086105,0.29295104521383114,28.84599014542242
11.5,0.0049524864052907245,0.24215765440786888,26.759442729692033
12.0,0.006866944197406138,0.18674105362227345,24.392700355135986
12.5,0.01035126003817644,0.13333992799377226,21.80572650248826
13.0,0.017111276629324976,0.08994152635492893,19.124516359915646
13.5,0.03000485872336982,0.05950044989625536,16.52884307094279
14.0,0.05249608364016028,0.039620684704323755,14.214268429053384
14.5,0.08667333703752135,0.025856925915976513,12.348283972123436
15.0,0.13158315774733773,0.014863135943413546,11.051543151366602
15.5,0.18539632976177225,0.008445517921301857,10.400983471533305
16.0,0.24635381039857712,0.004753725242354668,10.433689238510304
16.5,0.310891828678867,0.002644433870655711,11.149949721684546
17.0,0.3737760596244173,0.0014497344043909394,12.50815531327174
17.5,0.43058054067405027,0.0007813160851809041,14.41398598986882
18.0,0.4799830300252881,0.0004132813671952447,16.73570198764069
18.5,0.5235228946526992,0.00021443089165940928,19.344115328656102
19.0,0.5626310058063542,0.00010916874503418301,22.134926202056967
19.5,0.5962133037303825,5.459782995772716e-05,25.025649056832776
20.0,0.6214204357363324,2.688898128427627e-05,27.91647771904771
20.5,0.638166187567295,1.3120502627630509e-05,30.65903792586688
21.0,0.6496497754810298,6.359039460096846e-06,33.084583220045786
21.5,0.658451010310529,2.8375429627616687e-06,35.05935297898234
22.0,0.6658838658937907,1.2527440905703367e-06,36.55608043049273
22.5,0.6723525781949378,5.51510192198358e-07,37.60828688319134
23.0,0.6774747239766398,2.4301204786302214e-07,38.173594501621885
23.5,0.6817925671480378,1.0757590519389081e-07,38.238573032974536
24.0,0.6871421314019308,4.792337515924067e-08,37.97228135208165
24.5,0.6956907981960048,2.1482944849039873e-08,37.46447457415833
25.0,0.7074203827738237,9.687132096374989e-09,36.89083039431248
25.5,0.718791273771106,4.390448962506325e-09,36.41457861775111
26.0,0.7273362620752857,1.998732258025633e-09,35.80758792018037
26.5,0.7338925056642224,9.141680205193918e-10,34.84181421335782
27.0,0.7392298488960183,4.2027690503196995e-10,33.83368826025668
27.5,0.7428045143052044,1.9425108556998542e-10,33.018409931200125
28.0,0.7446529690437115,9.026322137616602e-11,32.33322846154607
28.5,0.7455949093821117,4.2170838524959966e-11,31.717649297030302
29.0,0.7465049287555607,1.9809944134850512e-11,31.062145599190234
29.5,0.7482591596026028,9.357024826840205e-12,30.389285282738257
30.0,0.7520290658949775,4.443874620805497e-12,29.739714379787685
30.5,0.7589299684040818,2.122687424967176e-12,29.03053562722033
31.0,0.7680350148488053,1.0203610191606359e-12,28.370850933836664
31.5,0.7761970116669388,4.926735034859965e-13,27.677580890531132
32.0,0.7818689853351534,2.389662436685713e-13,26.8554182861913
32.5,0.786035112114402,1.1604123795807965e-13,26.138906164657534
33.0,0.7901510608407432,5.580385957001185e-14,25.623655696460734
33.5,0.7944881698109383,2.735200774656062e-14,25.122014352898113
34.0,0.7979984192637689,1.283084188656598e-14,24.66647096547802
34.5,0.8000726363886643,6.231091726778219e-15,24.412891281545377
35.0,0.801058889127408,4.133396208237047e-15,24.314616171533913
35.5,0.8014692932917579,1.7926229884287963e-15,24.29230397746533
36.0,0.8016200362843633,8.137700307004404e-16,24.296329556509725
36.5,0.8016616144885527,7.594794793981013e-16,24.28208371229936
37.0,0.8016586548998235,4.702630237252101e-16,24.130167687936773
37.5,0.8016375439507365,3.3203230071822765e-16,23.589340987351385
38.0,0.8016085517039975,3.578422558565921e-17,22.76058622168455
38.5,0.8015751983681525,1.0156404713256544e-17,22.105802175536557
39.0,0.8015380087588958,0.0,21.696330809293137
39.5,0.8014958915412961,0.0,21.362506718286024
40.0,0.8014464153905809,0.0,20.91466306648386
40.5,0.8013854411373948,0.0,20.431677817632988
41.0,0.8013061651369805,0.0,20.09093136300336
41.5,0.801197450814074,0.0,19.890568231656484
42.0,0.8010410759266562,0.0,19.775952052869307
42.5,0.800807257087988,0.0,19.70934064129974
43.0,0.8004475132205541,0.0,19.66961451002347
43.5,0.7998835695329602,0.0,19.64506128869676
44.0,0.7989908051514647,0.0,19.628983602364457
44.5,0.7975753178194238,0.0,19.61739611221303
45.0,0.795346391966836,0.0,19.60780276459099
45.5,0.7918931970476353,0.0,19.5985145726936
46.0,0.7866867611840946,0.0,19.588241806986964
46.5,0.7791378737850386,0.0,19.57582471946027
47.0,0.7687252724117242,0.0,19.560031507549233
47.5,0.7551526043663083,0.0,19.539401861005082
48.0,0.7384546813045157,0.0,19.512219138269476
48.5,0.7190303651699228,0.0,19.477047026821754
49.0,0.6976443608875338,0.0,19.435201057526296
49.5,0.6753245675795703,0.0,19.39636247004971
50.0,0.6528457164058213,0.0,19.37859125753827
50.5,0.6301401123486063,0.0,19.39046176085578
51.0,0.6068520543064002,0.0,19.42177448870105
51.5,0.5830136823657268,0.0,19.45602443291202
52.0,0.5588202181723394,0.0,19.479469740748698
52.5,0.5346418629146301,0.0,19.455576368580168
53.0,0.511438857281223,0.0,19.484027895096414
53.5,0.4906472841867552,0.0,19.31025657555366
54.0,0.47362536933538163,0.0,19.049427968729447
54.5,0.4605087524649955,0.0,18.890135706128262
55.0,0.44936762978465383,0.0,18.834247035077908
55.5,0.43797381955361203,0.0,18.85186608930008
56.0,0.4256451967872614,0.0,18.90199555862085
56.5,0.4125529764790254,0.0,18.94478078320411
57.0,0.39891447441647476,0.0,18.9319248591499
57.5,0.38494306360862773,0.0,18.822355802823665
58.0,0.3710281324126258,0.0,18.668201181641194
58.5,0.3578062973668491,0.0,18.551226230932016
59.0,0.3459545056179124,0.0,18.48225645598375
59.5,0.33585271050113474,0.0,18.443529732256497
60.0,0.32752756114306214,0.0,18.416985049228558
60.5,0.3208375830941308,0.0,18.37122709412182
61.0,0.3154800294043851,0.0,18.205834411493754
61.5,0.31084538314360227,0.0,17.815843061434553
62.0,0.3060578657233768,0.0,17.41100844833374
62.5,0.3002191183572083,0.0,17.150980244290974
63.0,0.29269101356648036,0.0,17.003178504759873
63.5,0.2833766608007108,0.0,16.91935404622204
64.0,0.27290984399682416,0.0,16.870924128070378
64.5,0.2624626099866644,0.0,16.84247207729362
65.0,0.25307973507078574,0.0,16.82555906278649
