t,chi_hhi,lambda2,w_total
0.0,5.791338880701496e-07,0.749811280475669,23.680113468450788
0.5,5.761109247271948e-07,0.7500229654013367,23.679457229373572
1.0,5.740081391195966e-07,0.7501895100548424,23.679005061137694
1.5,5.725452395461058e-07,0.7503177913510737,23.678693508291303
2.0,5.715274457555307e-07,0.7504146214550069,23.678478846653313
2.5,5.70819400929195e-07,0.7504862861696161,23.67833094728092
3.0,5.703270435182813e-07,0.7505381404246614,23.678229049098164
3.5,5.699850095467761e-07,0.7505745699468963,23.678158846190946
4.0,5.697478779378754e-07,0.7505992729362501,23.678110480795677
4.5,5.695840864567256e-07,0.7506154705969282,23.678077160308632
5.0,5.694717036069991e-07,0.7506258220858234,23.678054204276854
5.5,5.693954903385425e-07,0.7506323000983903,23.678038387681617
6.0,5.69344858137474e-07,0.7506362476957054,23.67802748839717
6.5,5.693124500454027e-07,0.7506385420503326,23.678019975348285
7.0,5.692931545998532e-07,0.7506397503442817,23.678014793624648
7.5,5.692834206176704e-07,0.7506402409771264,23.67801121640887
8.0,5.692807810498045e-07,0.7506402553148025,23.67800874294556
8.5,5.692835221185644e-07,0.7506399527972387,23.678007028237026
9.0,5.692904534118054e-07,0.7506394394044639,23.67800583460091
9.5,5.693007481418909e-07,0.7506387858635715,23.6780049982924
10.0,5.693138321434991e-07,0.7506380394643536,23.678004406506584
10.5,5.693293067566397e-07,0.7506372318238537,23.678003981533223
11.0,5.693468952408148e-07,0.7506363840390843,23.678003669839747
11.5,5.693664055483886e-07,0.7506355101314794,23.6780034345498
12.0,5.693877044641919e-07,0.7506346193613612,23.678003250261387
12.5,5.6941069963339e-07,0.7506337177885037,23.678003099476918
13.0,5.694353270836944e-07,0.7506328093265174,23.67800297014378
13.5,5.69461542555288e-07,0.7506318964558035,23.678002853960102
14.0,5.694893154791018e-07,0.7506309807054726,23.678002745207554
14.5,5.695186247948028e-07,0.7506300629786101,23.67800263994735
15.0,5.69549456046299e-07,0.7506291437712173,23.67800253546642
15.5,5.695817993666407e-07,0.7506282233189746,23.678002429895862
16.0,5.696156480773875e-07,0.7506273016950475,23.678002321948203
16.5,5.696509977148799e-07,0.7506263788747467,23.678002210736373
17.0,5.696878453614037e-07,0.7506254547778042,23.678002095649045
17.5,5.6972618917185e-07,0.7506245292956008,23.678001976264746
18.0,5.697660280546097e-07,0.7506236023083234,23.678001852292738
18.5,5.698073614403851e-07,0.7506226736954443,23.67800172353229
19.0,5.698501891327448e-07,0.750621743341808,23.678001589844605
19.5,5.698945111953664e-07,0.7506208111408755,23.678001451133536
20.0,5.699403278814181e-07,0.7506198769961582,23.678001307332252
20.5,5.699876395761609e-07,0.7506189408215324,23.678001158394096
21.0,5.700364467707827e-07,0.750618002540896,23.67800100428627
21.5,5.70086750025658e-07,0.7506170620874558,23.67800084498549
22.0,5.701385499638471e-07,0.750616119402843,23.678000680475023
22.5,5.701918472520921e-07,0.7506151744361687,23.678000510742567
23.0,5.702466426005423e-07,0.7506142271430976,23.678000335778904
23.5,5.703029367465582e-07,0.7506132774849782,23.67800015557688
24.0,5.703607304645723e-07,0.7506123254280473,23.67799997013074
24.5,5.70420024547911e-07,0.7506113709427193,23.677999779435677
25.0,5.704808198220703e-07,0.7506104140029644,23.67799958348751
25.5,5.705431171324864e-07,0.7506094545857599,23.677999382282454
26.0,5.706069173509811e-07,0.7506084926706267,23.677999175816993
26.5,5.706722213717407e-07,0.7506075282392225,23.67799896408774
