t,chi_hhi,lambda2,w_total
0.0,0.001534229657807138,0.6870609130271976,104.89706442861443
0.5,0.0015352247412154037,0.5511057289594943,84.36167310416997
1.0,0.0015429844212097592,0.46864572059099263,72.20077704254477
1.5,0.0015574204880379676,0.4132273296877787,64.2008445272599
2.0,0.0015788109220079398,0.373238798787043,58.545630161446205
2.5,0.0016077190644524187,0.34275321977522605,54.319515464663056
3.0,0.0016450051333110496,0.31840818040453167,51.00735840130228
3.5,0.0016918840225367483,0.29813687191350213,48.29403289827455
4.0,0.0017500261536755797,0.28058298730416725,45.97313139307877
4.5,0.001821714764272583,0.2648009725232302,43.90120790834462
5.0,0.0019100882612448863,0.25006083485627834,41.973068623812075
5.5,0.0020195197580343766,0.23506814734109677,40.107624582029246
6.0,0.0021562291985728083,0.21779259541809093,38.23945070809199
6.5,0.002329309965071481,0.19945557549777831,36.31369380055283
7.0,0.00255253652577491,0.1799712814365665,34.28320580988422
7.5,0.0028477420403395116,0.15915608196571726,32.107495545139635
8.0,0.003251595272046416,0.13710436377226634,29.753640523821684
8.5,0.003830376345942299,0.11445046628790687,27.199865809272268
9.0,0.004715285383035646,0.09256168314551486,24.443098953198877
9.5,0.006194078362142592,0.0732502312710695,21.5119810365748
10.0,0.008952330936398328,0.0576230987023803,18.48452426373472
10.5,0.014615252212118611,0.03840415683648411,15.500878514431951
11.0,0.02651947583823177,0.02371064688857689,12.749914159116852
11.5,0.049753178985715366,0.014324370147244145,10.422932260609784
12.0,0.08883759834812863,0.008564101932357637,8.664990510217958
12.5,0.14411012576201254,0.005092420781604559,7.555289959129373
13.0,0.21088620285560894,0.0030160605565630115,7.121786928558999
13.5,0.2828347793694188,0.0017787934484871683,7.369856393017754
14.0,0.35547345796101165,0.0010436303964570788,8.299752882294282
14.5,0.4268013136871386,0.0006083223144060391,9.914729275677399
15.0,0.49401822331169043,0.00035177267795302643,12.224456878304323
15.5,0.5525806104616591,0.0002015120051492552,15.221492821531113
16.0,0.5999579806305531,0.00011420487521626507,18.841597034708222
16.5,0.6364876204331151,6.39763395115737e-05,22.95948143873268
17.0,0.6641434546956675,3.541388710805893e-05,27.445100853888988
17.5,0.6854668148732455,1.8100082079130584e-05,32.16081169522031
18.0,0.7018177656602294,8.897568520189762e-06,36.876539087668256
18.5,0.7140190529687789,4.332896176368589e-06,41.27984474701806
