t,chi_hhi,lambda2,w_total
0.0,0.0009464931962801114,0.6844346297412015,47.65787616818475
0.5,0.000945684899322078,0.628302886373793,44.0007474335403
1.0,0.0009489735134494079,0.5903005983245735,41.585922890754176
1.5,0.00095609187957851,0.5633854086374178,39.91791819489785
2.0,0.000967006508735865,0.543566621046737,38.72250664415766
2.5,0.0009818490614058747,0.5284192063943588,37.835145409686405
3.0,0.0010008942664793629,0.5163769570248229,37.150833355578456
3.5,0.0010245611916169465,0.5063732260781657,36.59917485807549
4.0,0.0010534305524403434,0.4976448887717274,36.13093378287255
4.5,0.0010882770620794186,0.4896182554510836,35.71027211896518
5.0,0.001130119428990247,0.4818386324833889,35.309990702004384
5.5,0.0011802938482152006,0.4739242346870905,34.90843969165715
6.0,0.0012405609487780877,0.46553395825574284,34.48739438314317
6.5,0.001313262381038492,0.4563425975673267,34.030502091243875
7.0,0.001401553376532506,0.44601891836499163,33.52206768302892
7.5,0.0015097549111222608,0.43420351897723347,32.9460356595357
8.0,0.001643899662194223,0.4204878718010903,32.285084130738454
8.5,0.001812601950172105,0.4044069330682058,31.519794405182953
9.0,0.002028488805232198,0.3854628983988699,30.62792049433446
9.5,0.002310643941798322,0.3631620168184393,29.583883413925097
10.0,0.002688974895203873,0.33701451220455536,28.358798507894022
10.5,0.003212475802291191,0.3065142891307665,26.921671248615283
11.0,0.00396609244978196,0.27118824030089345,25.242922735889657
11.5,0.005108824183921536,0.23084307910585847,23.3020564328362
12.0,0.006970491904314051,0.18611105053516452,21.101470315036416
12.5,0.010312659112223536,0.1384927556911672,18.686091625600177
13.0,0.01692219073988735,0.09285168736359767,16.160191341156114
13.5,0.03023732344200192,0.05787648549630017,13.685769352535297
14.0,0.05468729211927385,0.03459922055769515,11.457090513932906
14.5,0.09410647546305143,0.020223362221197486,9.656332217754588
15.0,0.15102913124751702,0.011659531391979866,8.412002366848618
15.5,0.22621909401958368,0.006647073592402854,7.787993411080629
16.0,0.315793235603296,0.0037441749117705925,7.796585085378293
16.5,0.4084198767910003,0.002079203556983497,8.409234065109844
17.0,0.4911870403602159,0.0011355403163643514,9.575217447605098
17.5,0.5582375998714053,0.0006087172851494819,11.243283313821884
18.0,0.6103539816406609,0.00031988855311789247,13.361766477893532
18.5,0.650063750215015,0.0001647384606004354,15.856514014369202
19.0,0.6801877833925507,8.31897118847315e-05,18.616981557863063
19.5,0.7032141499932938,4.126641658403329e-05,21.500383420210532
20.0,0.7209940597942275,2.018648605315621e-05,24.335618489123682
20.5,0.7348920779989221,9.827689966259132e-06,26.915364215834416
21.0,0.7453687665325079,4.84934357250241e-06,29.001125140863145
21.5,0.7521217256115864,2.464456806271001e-06,30.452439039688578
22.0,0.75574403396859,1.288468969011326e-06,31.321450684441675
22.5,0.7578916930433406,6.873812033333442e-07,31.70510554271368
23.0,0.7604158524336995,3.7230490418608236e-07,31.64368701213123
23.5,0.7646344742772602,2.042678579224833e-07,31.24553255111274
24.0,0.7704050828567044,1.1332458530529593e-07,30.526816299691383
24.5,0.776308560877272,6.345496137468523e-08,29.444986951547122
25.0,0.7808289743844263,3.5552701227050234e-08,28.134940635779202
25.5,0.7834365088895048,1.989099994863431e-08,26.92278501692179
26.0,0.7849205243334161,1.1210144845367874e-08,25.83236988889817
26.5,0.7865834802976548,6.377255430155048e-09,24.908646156695124
27.0,0.7894619550221535,3.658930044216615e-09,24.265560957026686
27.5,0.7937017839036469,2.113030579346496e-09,23.839106600008122
28.0,0.7983194417104219,1.2176262286045e-09,23.59917428421017
28.5,0.8018152420461823,6.055120286356326e-10,23.500171569286298
29.0,0.8035095564564096,2.9381295996655925e-10,23.383220367007844
29.5,0.8038172572132041,1.4296708864943736e-10,23.137923949675248
30.0,0.80339151568226,6.992441461131628e-11,22.83973585132616
30.5,0.8026696890276441,3.435516128593712e-11,22.506742906413734
31.0,0.8018829391076555,1.6940701568030907e-11,22.086383104023756
31.5,0.8011584508611375,8.378965340534932e-12,21.589681300346705
32.0,0.8006008146684853,4.155499415522049e-12,21.095444900685653
32.5,0.8003657209145362,2.065522776548435e-12,20.701967698887742
33.0,0.8007631626736131,1.0286856908935657e-12,20.42714013445567
33.5,0.8023441108097044,5.133763577315292e-13,20.220641332487485
34.0,0.8055248943795026,2.566890394757282e-13,20.01234142762373
34.5,0.8095089927950953,1.2845350248358513e-13,19.680162350921865
35.0,0.8126685891848404,6.437566474041375e-14,19.18210877173204
35.5,0.8143908254779022,3.2273325375931007e-14,18.755330474633052
36.0,0.8150698586106699,1.7358345259783918e-14,18.517461297378574
36.5,0.8152137991709487,8.529183192079044e-15,18.410551979866717
37.0,0.8151329493684101,3.666726823122924e-15,18.371188375131876
37.5,0.8149766203209109,1.847986480377031e-15,18.362970848688327
38.0,0.8148090554084171,8.944025117738348e-16,18.367459783041312
38.5,0.8146555745413722,5.046868811672437e-16,18.375589243261427
39.0,0.8145248364262074,7.654426596626898e-17,18.382740348927413
39.5,0.8144188353571749,1.3710644289710743e-16,18.385409543912917
40.0,0.81433750641467,0.0,18.375153303489085
40.5,0.8142815201199594,0.0,18.31535614634402
41.0,0.8142557695241257,0.0,18.096091140848955
41.5,0.8142771518449989,0.0,17.69274679629774
42.0,0.8143947986825268,0.0,17.32430408425089
42.5,0.8147405593309635,0.0,17.066925183279043
43.0,0.8156208484260571,0.0,16.879976688525172
43.5,0.8174811026411983,0.0,16.738405248484128
44.0,0.820147834556516,0.0,16.651243555514792
44.5,0.8219332573518772,0.0,16.629633279757332
45.0,0.82090688918227,0.0,16.66025472935976
45.5,0.8161953197188777,0.0,16.717558454089023
46.0,0.8073397474071846,0.0,16.780846829950374
46.5,0.7937173182321621,0.0,16.83856477584338
47.0,0.7747092880340677,0.0,16.886176644293123
47.5,0.7501127604970119,0.0,16.923159861828758
48.0,0.7203293530053827,0.0,16.95079672619756
48.5,0.68616962784279,0.0,16.97085276679112
49.0,0.6485704092137796,0.0,16.984663702100207
49.5,0.6085852883381906,0.0,16.99120333900217
50.0,0.5675392202236443,0.0,16.977994937955717
50.5,0.5270418275500641,0.0,16.88527468778274
51.0,0.4888258303003402,0.0,16.59736022510497
51.5,0.4545213159087901,0.0,16.21124409848955
52.0,0.42539242751025197,0.0,15.930749775586246
52.5,0.40205035328220773,0.0,15.766168871629272
53.0,0.3842516024087511,0.0,15.672493897812169
53.5,0.3709331576486228,0.0,15.618511833656612
54.0,0.3605515078296214,0.0,15.586897736498353
54.5,0.35154725369155426,0.0,15.56815430975601
55.0,0.3426905996398225,0.0,15.556950408425369
55.5,0.3332713802193674,0.0,15.550218975996748
56.0,0.32312324666796777,0.0,15.546162435890647
56.5,0.3124563808153863,0.0,15.543713890461039
57.0,0.3016673109703531,0.0,15.54223495805926
57.5,0.29127652820993394,0.0,15.541341722668415
58.0,0.2818446263889308,0.0,15.540802589506098
58.5,0.2737244856237977,0.0,15.540477597702274
59.0,0.2668166431994974,0.0,15.540282080125058
59.5,0.26056551214851476,0.0,15.540164795847542
60.0,0.25424372597534,0.0,15.540094731912683
60.5,0.2473935388406049,0.0,15.54005312304234
61.0,0.24018294317122307,0.0,15.540028621220062
61.5,0.23339044576316853,0.0,15.540014370133484
62.0,0.22791071822654868,0.0,15.540006232794388
62.5,0.22415351009373857,0.0,15.540001717708659
63.0,0.22189313444010206,0.0,15.539999328340189
63.5,0.2205824144752515,0.0,15.539998169110184
64.0,0.21969178865909128,0.0,15.539997706868697
64.5,0.2188286616822481,0.0,15.539997626578703
65.0,0.21770305180541324,0.0,15.539997744077914
65.5,0.21606517560423158,0.0,15.539997953408367
66.0,0.21368403749360143,0.0,15.539998195070517
66.5,0.21039972357698133,0.0,15.539998436934344
67.0,0.20625560161142115,0.0,15.539998662798888
67.5,0.2016375838415033,0.0,15.539998865567384
68.0,0.19723684629297883,0.0,15.539999043202359
68.5,0.193725405575772,0.0,15.539999196350879
69.0,0.19138484807669986,0.0,15.5399993269693
69.5,0.1900577240092636,0.0,15.539999437543274
70.0,0.189394686380891,0.0,15.539999530659536
70.5,0.18908655706537172,0.0,15.539999608783472
71.0,0.18893864363616297,0.0,15.539999674155139
71.5,0.18884736794640491,0.0,15.539999728751923
72.0,0.18875836674388946,0.0,15.539999774287208
72.5,0.1886359618729108,0.0,15.539999812227299
73.0,0.18844459853680823,0.0,15.539999843816409
73.5,0.1881362137549829,0.0,15.539999870104028
74.0,0.1876389282387301,0.0,15.539999891971693
74.5,0.18684545832627858,0.0,15.539999910157647
75.0,0.18560402018041308,0.0,15.5399999252788
75.5,0.1837223551298448,0.0,15.539999937849888
76.0,0.18100734245620984,0.0,15.539999948299911
76.5,0.1773679091690501,0.0,15.539999956986119
77.0,0.17297313280308707,0.0,15.539999964205855
77.5,0.16835057968405942,0.0,15.539999970206484
78.0,0.16423528540376742,0.0,15.539999975193735
78.5,0.1611790364927846,0.0,15.539999979338678
79.0,0.1592756466665955,0.0,15.539999982783531
79.5,0.1582584860116278,0.0,15.53999998564652
80.0,0.15777668753693272,0.0,15.539999988025919
80.5,0.15756763775994403,0.0,15.539999990003402
81.0,0.15748221647684077,0.0,15.539999991646857
81.5,0.15744865892236715,0.0,15.539999993012707
82.0,0.15743580236032056,0.0,15.539999994147845
82.5,0.1574309533911492,0.0,15.539999995091241
83.0,0.1574291421948225,0.0,15.539999995875286
83.5,0.1574284696814865,0.0,15.539999996526895
84.0,0.15742822087408442,0.0,15.53999999706844
84.5,0.15742812902492173,0.0,15.539999997518514
85.0,0.15742809516184353,0.0,15.539999997892565
85.5,0.15742808268581898,0.0,15.539999998203436
86.0,0.15742807809033338,0.0,15.5399999984618
86.5,0.15742807639705375,0.0,15.539999998676523
87.0,0.15742807577236828,0.0,15.539999998854979
87.5,0.15742807554120092,0.0,15.539999999003294
88.0,0.15742807545505394,0.0,15.539999999126556
88.5,0.15742807542244897,0.0,15.539999999229
89.0,0.15742807540969642,0.0,15.53999999931414
89.5,0.15742807540437542,0.0,15.539999999384902
90.0,0.15742807540189477,0.0,15.539999999443708
90.5,0.15742807540054737,0.0,15.539999999492585
91.0,0.15742807539969034,0.0,15.539999999533203
91.5,0.15742807539907472,0.0,15.539999999566966
92.0,0.15742807539859865,0.0,15.539999999595024
92.5,0.15742807539821604,0.0,15.539999999618342
93.0,0.15742807539790288,0.0,15.539999999637724
93.5,0.1574280753976444,0.0,15.53999999965383
94.0,0.1574280753974302,0.0,15.539999999667216
94.5,0.15742807539725243,0.0,15.53999999967834
95.0,0.15742807539710477,0.0,15.53999999968759
95.5,0.1574280753969821,0.0,15.539999999695272
96.0,0.15742807539688014,0.0,15.53999999970166
96.5,0.1574280753967954,0.0,15.539999999706968
97.0,0.157428075396725,0.0,15.539999999711378
97.5,0.15742807539666648,0.0,15.539999999715045
98.0,0.15742807539661782,0.0,15.539999999718093
98.5,0.1574280753965774,0.0,15.539999999720624
99.0,0.1574280753965438,0.0,15.539999999722731
99.5,0.15742807539651588,0.0,15.539999999724477
100.0,0.15742807539649267,0.0,15.539999999725932
