t,chi_hhi,lambda2,w_total
0.0,5.624138921644872e-07,0.7497009117114972,23.671691251031046
0.5,5.594121059669008e-07,0.74999150365217,23.673657299874417
1.0,5.57323051011054e-07,0.7502118249602799,23.67501665323497
1.5,5.558689091409131e-07,0.7503734513551281,23.675956495403497
2.0,5.548565186687086e-07,0.7504867305373176,23.676606278041028
2.5,5.541515978015429e-07,0.7505589154975193,23.677055515755455
3.0,5.53660806783554e-07,0.7505927487369048,23.6773661020214
3.5,5.533192699852074e-07,0.7506062453394464,23.677580829762682
4.0,5.530818984478761e-07,0.7506118849327056,23.677729284767384
4.5,5.529173565788743e-07,0.7506137332291742,23.6778319213015
5.0,5.52803867872208e-07,0.7506135223625746,23.677902880296998
5.5,5.527262994047762e-07,0.7506121715305712,23.677951937910922
6.0,5.526741353736958e-07,0.7506102142089596,23.677985852733805
6.5,5.526400686520763e-07,0.7506079694020856,23.67800929719978
7.0,5.526190219324547e-07,0.7506056277610464,23.678025501514764
7.5,5.52607467442298e-07,0.7506033005812959,23.6780366988283
8.0,5.526029541832884e-07,0.7506010495460802,23.678044432994984
8.5,5.52603779384768e-07,0.7505989053975619,23.67804977133884
9.0,5.526087602006631e-07,0.750596879849816,23.678053451743132
9.5,5.52617075046561e-07,0.7505949732335467,23.678055984337615
10.0,5.526281533574055e-07,0.7505931793927128,23.678057721797828
10.5,5.526415989752527e-07,0.7505914887939478,23.678058907945136
11.0,5.526571369163587e-07,0.7505898904692877,23.678059711345476
11.5,5.526745763870302e-07,0.7505883731980129,23.678060248537356
12.0,5.52693785079119e-07,0.7505869261949568,23.678060600090255
12.5,5.52714671315935e-07,0.7505855394818991,23.67806082170638
13.0,5.527371716475559e-07,0.7505842040587132,23.678060951895866
13.5,5.527612422331921e-07,0.7505829119510629,23.678061017282932
14.0,5.527868528493748e-07,0.7505816561848911,23.678061036274325
14.5,5.528139827389552e-07,0.7505804307202075,23.678061021595507
15.0,5.528426177163067e-07,0.7505792303649188,23.678060982044038
15.5,5.528727481642873e-07,0.7505780506816182,23.678060923701814
16.0,5.529043676437987e-07,0.7505768878951248,23.67806085077317
16.5,5.52937471921875e-07,0.7505757388052015,23.678060766164304
17.0,5.52972058306869e-07,0.7505746007067514,23.67806067188386
17.5,5.530081251745601e-07,0.7505734713184036,23.67806056931991
18.0,5.530456716532368e-07,0.7505723487196154,23.678060459431435
18.5,5.53084697396748e-07,0.7505712312958944,23.678060342880734
19.0,5.531252024263015e-07,0.7505701176915212,23.67806022012491
19.5,5.53167187028116e-07,0.7505690067690174,23.67806009147921
20.0,5.532106516739902e-07,0.7505678975745822,23.67805995716075
20.5,5.532555969751962e-07,0.7505667893087373,23.67805981731878
21.0,5.533020236412217e-07,0.7505656813014877,23.678059672055582
21.5,5.533499324580674e-07,0.7505645729913558,23.678059521440957
22.0,5.533993242740888e-07,0.7505634639077238,23.678059365522206
22.5,5.534501999829214e-07,0.7505623536559904,23.678059204331056
23.0,5.535025605211112e-07,0.7505612419051102,23.67805903788843
23.5,5.535564068553905e-07,0.7505601283771476,23.678058866207778
24.0,5.536117399868645e-07,0.7505590128385259,23.67805868929731
24.5,5.536685609447312e-07,0.750557895092704,23.67805850716163
25.0,5.53726870782426e-07,0.7505567749740538,23.67805831980281
25.5,5.537866705829095e-07,0.7505556523427366,23.678058127221135
26.0,5.538479614506803e-07,0.7505545270804284,23.678057929415637
26.5,5.539107445168977e-07,0.7505533990867459,23.67805772638446
27.0,5.539750209360774e-07,0.7505522682762636,23.678057518125087
27.5,5.54040791887302e-07,0.7505511345760242,23.678057304634546
28.0,5.541080585720191e-07,0.7505499979234596,23.678057085909508
28.5,5.541768222165187e-07,0.7505488582646584,23.678056861946366
29.0,5.542470840721549e-07,0.7505477155529178,23.678056632741313
29.5,5.543188454136923e-07,0.7505465697475368,23.67805639829036
30.0,5.543921075395267e-07,0.750545420812811,23.678056158589378
30.5,5.544668717711347e-07,0.7505442687171913,23.678055913634104
31.0,5.545431394564329e-07,0.7505431134325844,23.678055663420157
31.5,5.546209119665839e-07,0.7505419549337702,23.67805540794307
32.0,5.547001906974832e-07,0.7505407931979109,23.678055147198258
32.5,5.547809770682165e-07,0.75053962820415,23.67805488118104
33.0,5.548632725235948e-07,0.75053845993327,23.678054609886665
33.5,5.549470785313432e-07,0.7505372883674101,23.67805433331026
34.0,5.550323965863992e-07,0.750536113489833,23.678054051446892
34.5,5.551192282060642e-07,0.7505349352847263,23.67805376429152
35.0,5.552075749331992e-07,0.7505337537370389,23.678053471839018
35.5,5.552974383371056e-07,0.7505325688323462,23.678053174084184
36.0,5.553888200088428e-07,0.7505313805567325,23.678052871021716
36.5,5.554817215660765e-07,0.7505301888967005,23.67805256264623
37.0,5.555761446523618e-07,0.7505289938390881,23.67805224895225
37.5,5.556720909348851e-07,0.7505277953710041,23.67805192993422
38.0,5.557695621061717e-07,0.7505265934797729,23.67805160558649
38.5,5.558685598858487e-07,0.7505253881528874,23.67805127590333
39.0,5.559690860170636e-07,0.7505241793779716,23.6780509408789
39.5,5.560711422676424e-07,0.7505229671427477,23.6780506005073
40.0,5.561747304337242e-07,0.7505217514350098,23.678050254782526
40.5,5.562798523348587e-07,0.7505205322426011,23.678049903698486
41.0,5.563865098174226e-07,0.7505193095533952,23.678049547249003
41.5,5.564947047518641e-07,0.7505180833552798,23.678049185427803
42.0,5.56604439036173e-07,0.7505168536361443,23.678048818228532
42.5,5.567157145940091e-07,0.7505156203838689,23.67804844564474
43.0,5.568285333726636e-07,0.7505143835863142,23.678048067669884
43.5,5.569428973496687e-07,0.7505131432313151,23.678047684297344
44.0,5.570588085250863e-07,0.7505118993066731,23.67804729552039
44.5,5.571762689274566e-07,0.7505106518001494,23.678046901332216
45.0,5.572952806114307e-07,0.7505094006994638,23.678046501725916
45.5,5.574158456549593e-07,0.7505081459922875,23.6780460966945
46.0,5.575379661671718e-07,0.7505068876662414,23.678045686230874
46.5,5.576616442802779e-07,0.7505056257088927,23.67804527032787
47.0,5.577868821551304e-07,0.7505043601077511,23.678044848978214
47.5,5.579136819795747e-07,0.7505030908502708,23.678044422174533
48.0,5.58042045965472e-07,0.7505018179238429,23.67804398990938
48.5,5.581719763555313e-07,0.7505005413157987,23.6780435521752
49.0,5.583034754162031e-07,0.7504992610134065,23.678043108964353
49.5,5.584365454426365e-07,0.7504979770038682,23.678042660269092
50.0,5.585711887578539e-07,0.7504966892743229,23.678042206081585
50.5,5.587074077120887e-07,0.7504953978118408,23.678041746393916
51.0,5.588452046815197e-07,0.7504941026034266,23.67804128119805
51.5,5.589845820710243e-07,0.7504928036360152,23.678040810485868
52.0,5.591255423119759e-07,0.750491500896474,23.67804033424916
52.5,5.592680878656586e-07,0.7504901943715995,23.678039852479614
53.0,5.594122212202375e-07,0.7504888840481181,23.67803936516883
53.5,5.595579448915856e-07,0.7504875699126862,23.67803887230829
54.0,5.597052614230626e-07,0.750486251951887,23.678038373889393
54.5,5.598541733871131e-07,0.7504849301522335,23.67803786990345
55.0,5.60004683385597e-07,0.7504836045001634,23.67803736034166
55.5,5.601567940467591e-07,0.7504822749820438,23.678036845195123
56.0,5.603105080274883e-07,0.7504809415841662,23.678036324454844
56.5,5.60465828016017e-07,0.7504796042927483,23.678035798111736
57.0,5.606227567246489e-07,0.7504782630939341,23.6780352661566
57.5,5.607812968997304e-07,0.7504769179737892,23.67803472858014
58.0,5.609414513137176e-07,0.7504755689183072,23.678034185372965
58.5,5.611032227677658e-07,0.7504742159134024,23.678033636525583
59.0,5.612666140947036e-07,0.7504728589449133,23.678033082028392
59.5,5.614316281541862e-07,0.7504714979986019,23.6780325218717
60.0,5.615982678368808e-07,0.7504701330601506,23.678031956045707
60.5,5.617665360637516e-07,0.7504687641151647,23.6780313845405
61.0,5.619364357813217e-07,0.7504673911491702,23.678030807346083
61.5,5.621079699729105e-07,0.7504660141476137,23.678030224452343
62.0,5.622811416471213e-07,0.7504646330958626,23.678029635849075
62.5,5.624559538431847e-07,0.7504632479792023,23.67802904152595
63.0,5.626324096309024e-07,0.7504618587828388,23.678028441472552
63.5,5.628105121129624e-07,0.7504604654918959,23.678027835678357
64.0,5.629902644167849e-07,0.7504590680914164,23.678027224132734
64.5,5.631716697072479e-07,0.7504576665663596,23.67802660682493
65.0,5.633547311751744e-07,0.7504562609016018,23.678025983744106
65.5,5.635394520464206e-07,0.7504548510819378,23.678025354879324
66.0,5.637258355746057e-07,0.7504534370920738,23.678024720219504
66.5,5.639138850457932e-07,0.7504520189166369,23.678024079753488
67.0,5.641036037777207e-07,0.7504505965401649,23.678023433469995
67.5,5.64294995117926e-07,0.7504491699471133,23.678022781357644
68.0,5.644880624509092e-07,0.7504477391218481,23.67802212340493
68.5,5.646828091860127e-07,0.7504463040486509,23.67802145960026
69.0,5.64879238770092e-07,0.7504448647117141,23.678020789931907
69.5,5.650773546795276e-07,0.7504434210951446,23.678020114388048
70.0,5.652771604223188e-07,0.750441973182958,23.67801943295674
70.5,5.654786595421593e-07,0.7504405209590835,23.67801874562594
71.0,5.656818556131494e-07,0.7504390644073584,23.67801805238348
71.5,5.658867522414488e-07,0.750437603511531,23.678017353217076
72.0,5.660933530689672e-07,0.750436138255259,23.67801664811434
72.5,5.66301661767304e-07,0.7504346686221087,23.678015937062774
73.0,5.66511682045462e-07,0.7504331945955534,23.678015220049748
73.5,5.667234176414726e-07,0.7504317161589747,23.678014497062527
74.0,5.66936872331266e-07,0.7504302332956619,23.678013768088267
74.5,5.671520499204075e-07,0.7504287459888086,23.678013033113988
75.0,5.673689542541782e-07,0.7504272542215142,23.67801229212661
75.5,5.675875892055671e-07,0.7504257579767841,23.678011545112923
76.0,5.678079586851855e-07,0.7504242572375279,23.678010792059613
76.5,5.680300666386786e-07,0.7504227519865595,23.678010032953228
77.0,5.682539170451278e-07,0.750421242206594,23.678009267780215
77.5,5.684795139195297e-07,0.7504197278802507,23.678008496526886
78.0,5.687068613112534e-07,0.7504182089900489,23.67800771917944
78.5,5.689359633059137e-07,0.7504166855184111,23.67800693572395
79.0,5.691668240218453e-07,0.7504151574476593,23.678006146146373
79.5,5.69399447616053e-07,0.7504136247600149,23.67800535043254
80.0,5.696338382816761e-07,0.7504120874375995,23.67800454856815
80.5,5.698700002451255e-07,0.7504105454624315,23.678003740538795
81.0,5.701079377706547e-07,0.7504089988164295,23.678002926329924
81.5,5.703476551599196e-07,0.7504074474814066,23.678002105926872
82.0,5.705891567482333e-07,0.7504058914390742,23.67800127931485
82.5,5.708324469120013e-07,0.7504043306710386,23.678000446478926
83.0,5.710775300600187e-07,0.7504027651588024,23.677999607404058
83.5,5.713244106427251e-07,0.7504011948837603,23.67799876207507
84.0,5.715730931441058e-07,0.7503996198272018,23.677997910476652
84.5,5.718235820892947e-07,0.7503980399703094,23.67799705259337
85.0,5.720758820385143e-07,0.7503964552941584,23.67799618840965
85.5,5.723299975924743e-07,0.750394865779713,23.67799531790981
86.0,5.725859333871933e-07,0.7503932714078314,23.67799444107801
86.5,5.728436941016011e-07,0.7503916721592588,23.677993557898283
87.0,5.731032844480633e-07,0.7503900680146324,23.67799266835455
87.5,5.733647091839497e-07,0.750388458954475,23.67799177243056
88.0,5.736279731000666e-07,0.7503868449591982,23.677990870109955
88.5,5.73893081030186e-07,0.7503852260091018,23.67798996137624
89.0,5.741600378461983e-07,0.75038360208437,23.67798904621278
89.5,5.74428848461913e-07,0.7503819731650736,23.677988124602784
90.0,5.746995178293137e-07,0.7503803392311655,23.677987196529358
90.5,5.749720509408154e-07,0.7503787002624859,23.67798626197543
91.0,5.752464528308078e-07,0.7503770562387545,23.677985320923828
91.5,5.755227285741125e-07,0.7503754071395757,23.677984373357205
92.0,5.758008832848815e-07,0.7503737529444351,23.677983419258098
92.5,5.760809221217749e-07,0.7503720936326962,23.677982458608884
93.0,5.76362850282067e-07,0.7503704291836042,23.677981491391805
93.5,5.766466730077058e-07,0.750368759576284,23.677980517588956
94.0,5.769323955798041e-07,0.7503670847897366,23.67797953718229
94.5,5.772200233253053e-07,0.7503654048028402,23.677978550153615
95.0,5.775095616102625e-07,0.7503637195943499,23.677977556484592
95.5,5.778010158451819e-07,0.7503620291428972,23.67797655615672
96.0,5.780943914861248e-07,0.7503603334269853,23.677975549151384
96.5,5.783896940273811e-07,0.750358632424994,23.677974535449778
97.0,5.786869290125962e-07,0.7503569261151737,23.677973515032978
97.5,5.789861020250214e-07,0.750355214475648,23.67797248788189
98.0,5.792872186939585e-07,0.7503534974844106,23.67797145397728
98.5,5.795902846943191e-07,0.7503517751193258,23.677970413299747
99.0,5.798953057444769e-07,0.7503500473581266,23.677969365829746
99.5,5.802022876072584e-07,0.7503483141784139,23.677968311547584
100.0,5.805112360941297e-07,0.7503465755576557,23.677967250433397
100.5,5.808221570574848e-07,0.7503448314731882,23.677966182467166
101.0,5.811350563995689e-07,0.7503430819022096,23.677965107628722
101.5,5.814499400670807e-07,0.7503413268217857,23.677964025897737
102.0,5.81766814054697e-07,0.7503395662088431,23.67796293725371
102.5,5.820856844029258e-07,0.7503378000401725,23.677961841675994
103.0,5.824065571991507e-07,0.7503360282924256,23.677960739143774
103.5,5.827294385782391e-07,0.7503342509421141,23.67795962963607
104.0,5.830543347261212e-07,0.7503324679656094,23.67795851313174
104.5,5.833812518726298e-07,0.7503306793391411,23.67795738960947
105.0,5.83710196296788e-07,0.7503288850387957,23.677956259047797
105.5,5.840411743287372e-07,0.7503270850405175,23.677955121425065
106.0,5.843741923465975e-07,0.7503252793201048,23.67795397671948
106.5,5.84709256776137e-07,0.7503234678532098,23.67795282490905
107.0,5.850463740957295e-07,0.7503216506153397,23.67795166597162
107.5,5.853855508326639e-07,0.7503198275818516,23.67795049988488
108.0,5.857267935640804e-07,0.7503179987279548,23.67794932662633
108.5,5.860701089184026e-07,0.7503161640287096,23.677948146173293
109.0,5.864155035762748e-07,0.7503143234590218,23.67794695850293
109.5,5.867629842670905e-07,0.7503124769936484,23.677945763592213
110.0,5.871125577746667e-07,0.7503106246071913,23.677944561417945
110.5,5.874642309348757e-07,0.7503087662740974,23.677943351956745
111.0,5.87818010634267e-07,0.7503069019686601,23.67794213518506
111.5,5.881739038144197e-07,0.7503050316650126,23.677940911079133
112.0,5.885319174694083e-07,0.7503031553371337,23.677939679615058
112.5,5.888920586458578e-07,0.7503012729588396,23.677938440768713
113.0,5.892543344460841e-07,0.750299384503789,23.677937194515813
113.5,5.896187520259444e-07,0.750297489945478,23.677935940831873
114.0,5.899853185972625e-07,0.7502955892572389,23.67793467969223
114.5,5.903540414239164e-07,0.7502936824122424,23.677933411072022
115.0,5.907249278301571e-07,0.7502917693834906,23.677932134946204
115.5,5.910979851931162e-07,0.7502898501438229,23.67793085128954
116.0,5.914732209442944e-07,0.7502879246659087,23.677929560076585
116.5,5.918506425770517e-07,0.7502859929222488,23.67792826128173
117.0,5.92230257638676e-07,0.7502840548851745,23.677926954879133
117.5,5.92612073734679e-07,0.7502821105268441,23.677925640842787
118.0,5.929960985286875e-07,0.7502801598192453,23.67792431914647
118.5,5.933823397413399e-07,0.75027820273419,23.677922989763758
119.0,5.937708051558507e-07,0.7502762392433154,23.677921652668033
119.5,5.941615026115655e-07,0.7502742693180814,23.67792030783247
120.0,5.945544400072113e-07,0.7502722929297703,23.67791895523004
120.5,5.949496253037601e-07,0.750270310049485,23.677917594833517
121.0,5.953470665215651e-07,0.7502683206481471,23.677916226615444
121.5,5.957467717411319e-07,0.7502663246964961,23.677914850548177
122.0,5.961487491071944e-07,0.7502643221650885,23.677913466603858
122.5,5.96553006823592e-07,0.750262313024296,23.67791207475441
123.0,5.969595531582828e-07,0.7502602972443017,23.677910674971542
123.5,5.973683964416352e-07,0.7502582747951039,23.677909267226756
124.0,5.977795450664838e-07,0.7502562456465086,23.67790785149133
124.5,5.981930074904972e-07,0.7502542097681334,23.677906427736325
