case_tag,N,alpha,seed,T,eps,baseline_eps,final_chi_hhi_star,final_lambda2,final_total_weight,max_abs_diff_chi_hhi_star_vs_baseline,max_abs_diff_lambda2_vs_baseline,max_abs_diff_total_weight_vs_baseline,abs_diff_final_chi_hhi_star_vs_baseline,abs_diff_final_lambda2_vs_baseline,abs_diff_final_total_weight_vs_baseline,runtime_seconds
n64_a180_seed101_t200,64,1.8,101,200.0,1e-06,1e-12,0.3131107196764179,1.2899700182573545e-07,20.899392841781903,0.007173429877711246,0.0172704070997583,0.27656349682362347,0.0021093771211229684,2.4870350053740332e-08,0.27656349682362347,31.255264500156045
n64_a180_seed101_t200,64,1.8,101,200.0,1e-12,1e-12,0.31522009679754087,1.0412665177199511e-07,21.175956338605527,0.0,0.0,0.0,0.0,0.0,0.0,23.36837109993212
n64_a180_seed101_t200,64,1.8,101,200.0,1e-18,1e-12,0.31522009895972286,1.0412662940551395e-07,21.175956791554178,7.203182439408096e-09,1.7258744600123777e-08,4.529486510307379e-07,2.1621819890071947e-09,2.236648116641217e-14,4.529486510307379e-07,21.293259300058708
n64_a180_seed123_t200,64,1.8,123,200.0,1e-06,1e-12,0.48371836993246486,6.601206053273932e-12,19.598687966138066,0.005860783421296256,0.014623688341307728,2.160119751170697,0.004974402838972325,3.797089464932929e-12,1.1430367216666575,20.89039169996977
n64_a180_seed123_t200,64,1.8,123,200.0,1e-12,1e-12,0.4886927727714372,2.8041165883410028e-12,20.741724687804723,0.0,0.0,0.0,0.0,0.0,0.0,19.929768100148067
n64_a180_seed123_t200,64,1.8,123,200.0,1e-18,1e-12,0.488693138136357,1.9421330585047767e-12,22.790216844121296,3.6536491981875585e-07,1.4582875296209608e-08,2.0484921563165734,3.6536491981875585e-07,8.619835298362261e-13,2.0484921563165734,19.2879800000228
n256_a180_seed101_t400,256,1.8,101,400.0,1e-06,1e-12,0.23609433378093148,-2.752070829025413e-16,40.08239825463738,0.5324408585612135,0.06006816167578227,20.687501929125233,0.4976856510501583,6.790138611640436e-17,0.13431019606949945,47.10217359988019
n256_a180_seed101_t400,256,1.8,101,400.0,1e-12,1e-12,0.7337799848310897,-3.4310846901894566e-16,39.94808805856788,0.0,0.0,0.0,0.0,0.0,0.0,45.80844739987515
n256_a180_seed101_t400,256,1.8,101,400.0,1e-18,1e-12,0.8014174925314499,-3.541877812612751e-16,40.530401321470265,0.06763750770036014,5.992843821189808e-08,24.32116465397857,0.06763750770036014,1.1079312242329432e-17,0.5823132629023817,45.922852399991825
