"alpha","n","chi_mean","chi_min","chi_max"
"1.66","3","0.00689302358565303","0.000440857067994604","0.0166393273236442"
"1.68","3","0.0196015774817281","0.00170498879017335","0.042086709647697"
"1.7","3","0.04439997909081","0.00924944282759435","0.0873032456285431"
"1.74","3","0.185885195340719","0.0665405006458825","0.342194530996828"
"1.76","3","0.297506653948619","0.141968472198407","0.480160774641449"
"1.8","3","0.480002573965764","0.315220096797541","0.599274264188273"
