alpha,T,n_runs,chi_hhi_star_mean,chi_hhi_star_std,lambda2_mean,lambda2_std,runtime_seconds_mean,runtime_seconds_std
1.8,370.0,2,0.10232231731037675,0.12990262397666297,0.018976686032368916,0.02682401696515503,116.0230382499285,13.677451280738207
1.8,380.0,2,0.4991474398355704,0.2121005993656795,1.20494141814328e-07,1.7040341887822703e-07,106.86518199997954,0.8896268805425969
1.8,390.0,2,0.7167629892455587,0.025012851426347547,4.9643747579646345e-15,7.126737518714009e-15,107.69440635002684,0.555359615355118
