alpha,n_cases,chi_hhi_star_mean,chi_hhi_star_std,lambda2_mean,total_weight_mean,runtime_seconds_mean
1.66,3,0.30869472389626323,0.07057592605343628,-3.4676976640271066e-16,23.480850305014485,109.16561876668129
1.68,3,0.2638261345581419,0.024956579994871882,-4.1097757280053655e-16,24.775876545193356,378.2236159999932
1.7,3,0.2281673970581796,0.015218596836280308,-3.5552930059612804e-16,25.199579862363084,11235.552575233276
1.74,3,0.20258422510198756,0.03351097019889563,-5.744168980639446e-16,24.57939504044167,95.464065499953
1.76,3,0.20477769437330529,0.02238062862878338,-4.666138376222111e-16,26.04697140086866,93.00389483334341
1.8,3,0.20115966528992216,0.013860977299363912,-5.429005875289012e-16,26.92426860937852,93.06864359998144
