"alpha","n_cases","chi_hhi_star_mean","chi_hhi_star_std","lambda2_mean","total_weight_mean","runtime_seconds_mean"
"1.66","3","1.58670212797897E-06","1.40606956713942E-08","0.659871399675481","63.3121799369447","52.4536082999936"
"1.68","3","1.60756077604852E-06","1.46581751313356E-08","0.679815153470135","65.2309727502906","47.6976512667025"
"1.7","3","1.62924113396001E-06","1.52971840356713E-08","0.699753103936664","67.1497257989594","48.2812936666499"
"1.74","3","1.67525170841954E-06","1.6714430604005E-08","0.739610245436706","70.9871034087932","47.0289959666552"
"1.76","3","1.69968345906189E-06","1.75009917337969E-08","0.7595286953866","72.9057229311647","56.5571744332944"
"1.8","3","1.75168523646101E-06","1.92543870602528E-08","0.799343273288452","76.742809295645","45.7411654000171"
