cutoff,n_rows,n_unique_files,median_n_components,min_n_components,max_n_components,median_largest_component_size,min_largest_component_size,max_largest_component_size,median_second_largest_component_size,total_singletons,total_dimers,total_trimers,files_with_singletons,files_with_dimers,files_with_trimers
0.0,12,12,1.0,1,1,256.0,256,256,0.0,0,0,0,0,0,0
1e-12,12,12,192.5,168,196,3.0,3,4,3.0,1828,0,412,12,0,12
