label,N,alpha,beta,gamma,T,seed,chi_hhi_star,lambda2,total_weight,runtime_seconds,summary_path,matrix_path
N192_a1.66_T200_seed101,192,1.66,1.0,1.0,200.0,101,1.5706901019308274e-06,0.6600293486655312,63.312652639035605,51.78564140002709,results\alpha_scan_transition_N192_T200\run_full_N192_a1.66_b1.0_g1.0_seed101.json,results\alpha_scan_transition_N192_T200\W_full_N192_a1.66_b1.0_g1.0_seed101.csv
N192_a1.66_T200_seed102,192,1.66,1.0,1.0,200.0,102,1.5970350335959028e-06,0.6598113640081613,63.31187570275215,53.550147200003266,results\alpha_scan_transition_N192_T200\run_full_N192_a1.66_b1.0_g1.0_seed102.json,results\alpha_scan_transition_N192_T200\W_full_N192_a1.66_b1.0_g1.0_seed102.csv
N192_a1.66_T200_seed103,192,1.66,1.0,1.0,200.0,103,1.5923812484101892e-06,0.659773486352751,63.3120114690462,52.02503629995044,results\alpha_scan_transition_N192_T200\run_full_N192_a1.66_b1.0_g1.0_seed103.json,results\alpha_scan_transition_N192_T200\W_full_N192_a1.66_b1.0_g1.0_seed103.csv
N192_a1.68_T200_seed101,192,1.68,1.0,1.0,200.0,101,1.5908773116681246e-06,0.6799835955849844,65.23147104056753,47.49161800008733,results\alpha_scan_transition_N192_T200\run_full_N192_a1.68_b1.0_g1.0_seed101.json,results\alpha_scan_transition_N192_T200\W_full_N192_a1.68_b1.0_g1.0_seed101.csv
N192_a1.68_T200_seed102,192,1.68,1.0,1.0,200.0,102,1.6183740685519614e-06,0.6797511666712565,65.23065062842295,48.42141220008489,results\alpha_scan_transition_N192_T200\run_full_N192_a1.68_b1.0_g1.0_seed102.json,results\alpha_scan_transition_N192_T200\W_full_N192_a1.68_b1.0_g1.0_seed102.csv
N192_a1.68_T200_seed103,192,1.68,1.0,1.0,200.0,103,1.6134309479254676e-06,0.6797106981541641,65.23079658188138,47.17992359993514,results\alpha_scan_transition_N192_T200\run_full_N192_a1.68_b1.0_g1.0_seed103.json,results\alpha_scan_transition_N192_T200\W_full_N192_a1.68_b1.0_g1.0_seed103.csv
N192_a1.70_T200_seed101,192,1.7,1.0,1.0,200.0,101,1.6118398008979796e-06,0.6999327169764753,67.15025152841724,47.68901139998343,results\alpha_scan_transition_N192_T200\run_full_N192_a1.7_b1.0_g1.0_seed101.json,results\alpha_scan_transition_N192_T200\W_full_N192_a1.7_b1.0_g1.0_seed101.csv
N192_a1.70_T200_seed102,192,1.7,1.0,1.0,200.0,102,1.6405684038431695e-06,0.6996849136197195,67.14938444787106,48.3796977000311,results\alpha_scan_transition_N192_T200\run_full_N192_a1.7_b1.0_g1.0_seed102.json,results\alpha_scan_transition_N192_T200\W_full_N192_a1.7_b1.0_g1.0_seed102.csv
N192_a1.70_T200_seed103,192,1.7,1.0,1.0,200.0,103,1.6353151971388672e-06,0.6996416812137972,67.14954142058973,48.77517189993523,results\alpha_scan_transition_N192_T200\run_full_N192_a1.7_b1.0_g1.0_seed103.json,results\alpha_scan_transition_N192_T200\W_full_N192_a1.7_b1.0_g1.0_seed103.csv
N192_a1.74_T200_seed101,192,1.74,1.0,1.0,200.0,101,1.6562587354519646e-06,0.7398144580657746,70.98769026416434,49.10793729999568,results\alpha_scan_transition_N192_T200\run_full_N192_a1.74_b1.0_g1.0_seed101.json,results\alpha_scan_transition_N192_T200\W_full_N192_a1.74_b1.0_g1.0_seed101.csv
