t,chi_hhi_star,lambda2,total_weight,load_cv
0.0,3.9011363869758855e-07,0.9998557791821925,255.97980637036108,0.0005937730833696229
2.0,3.8953688216533845e-07,0.833883697430641,213.3417824538731,0.00024454818636243897
4.0,3.894549729440246e-07,0.8067907366427123,206.3958405205318,0.00011034072374167402
6.0,3.8946075401205956e-07,0.8015274768680066,205.047036980624,5.4807203040722275e-05
8.0,3.8949293316223595e-07,0.8004701044993513,204.77665603036687,3.476235432624266e-05
10.0,3.895398090091902e-07,0.8002542253151562,204.72210682991664,2.944893284812398e-05
12.0,3.8959905877417437e-07,0.8002079143247779,204.71107917979305,2.8428754311704098e-05
14.0,3.8967022806718184e-07,0.8001957769494221,204.70883905329637,2.8300364361255716e-05
16.0,3.8975323789690656e-07,0.8001904917889823,204.7083720069289,2.8314716814121366e-05
18.0,3.898480852294651e-07,0.800186548589637,204.70826096773783,2.833970444791445e-05
20.0,3.8995478332874837e-07,0.8001828380934654,204.70821963198296,2.8359323273677647e-05
22.0,3.9007335011843837e-07,0.8001791378311773,204.7081901517103,2.837521738695936e-05
24.0,3.902038060311788e-07,0.8001754034222052,204.7081608356962,2.8389922395898877e-05
26.0,3.903461736708917e-07,0.8001716259748993,204.70812931782774,2.8404946430014598e-05
28.0,3.905004777935524e-07,0.8001678035408788,204.70809511562862,2.8421045045933988e-05
30.0,3.9066674533070023e-07,0.8001639354677491,204.7080581267795,2.8438575962379777e-05
32.0,3.9084500541233815e-07,0.8001600213124492,204.70801832535312,2.8457705803863233e-05
34.0,3.9103528938587724e-07,0.8001560606462286,204.70797570044,2.8478512832143204e-05
36.0,3.912376308331523e-07,0.8001520530262731,204.70793024374575,2.8501035209504353e-05
38.0,3.91452065586911e-07,0.8001479979948922,204.7078819470829,2.8525293161033605e-05
40.0,3.9167863174756627e-07,0.8001438950814966,204.7078308018613,2.8551299052491414e-05
42.0,3.9191736970081586e-07,0.8001397438038902,204.70777679898177,2.8579061954130914e-05
44.0,3.921683221361828e-07,0.8001355436688488,204.7077199288116,2.860858970479755e-05
46.0,3.924315340664813e-07,0.8001312941722949,204.70766018117575,2.8639889845822273e-05
48.0,3.9270705284854535e-07,0.8001269947992702,204.70759754535166,2.86729700447789e-05
