t,chi_hhi_star,lambda2,total_weight,load_cv
0.0,3.8938038210309753e-07,0.9994042162797182,255.9950327450884,0.0006298577489578547
2.0,3.8873663110657213e-07,0.8338204434054931,213.3440697334699,0.0002607032452038003
4.0,3.8864526482923853e-07,0.8067906823019707,206.39642553652175,0.00011858431611697326
6.0,3.8865087435848305e-07,0.8015295775251973,205.04730605069403,5.9040445296061306e-05
8.0,3.8868484078569177e-07,0.8004720441753188,204.77686227942058,3.640024464200098e-05
10.0,3.887340077169681e-07,0.8002560003149704,204.72230006156997,2.9541255569079385e-05
12.0,3.887957357849704e-07,0.800209619802274,204.71126933161554,2.7831960442617498e-05
14.0,3.888694960550357e-07,0.8001974680761207,204.70902810318466,2.742723814608606e-05
16.0,3.889551906874897e-07,0.8001921955357125,204.70856033689682,2.733228811316657e-05
18.0,3.890528121832573e-07,0.8001882777110602,204.70844863899066,2.7316661803620044e-05
20.0,3.8916237367892836e-07,0.8001845986920394,204.70840664075007,2.732509179490552e-05
22.0,3.892838945136394e-07,0.8001809329743111,204.7083764806424,2.7342750554782052e-05
24.0,3.894173971694077e-07,0.8001772348073969,204.7083464642135,2.7365008486420744e-05
26.0,3.8956290659518057e-07,0.8001734946852113,204.7083142242098,2.7390195431180872e-05
28.0,3.897204500504026e-07,0.8001697103856432,204.70827927743483,2.7417644116009185e-05
30.0,3.8989005707016874e-07,0.8001658811358628,204.70824152092865,2.7447072957686916e-05
32.0,3.900717594637041e-07,0.8001620064413134,204.70820092813165,2.7478361230608156e-05
34.0,3.902655913228984e-07,0.800158085852788,204.7081574874942,2.7511458400090972e-05
36.0,3.9047158903638586e-07,0.800154118921048,204.70811119007016,2.7546345357674513e-05
38.0,3.9068979130503657e-07,0.8001501051883723,204.70806202700714,2.7583017348695146e-05
40.0,3.90920239159849e-07,0.8001460441871161,204.70800998903604,2.762147634802363e-05
42.0,3.91162975981042e-07,0.8001419354394699,204.70795506636426,2.766172763470346e-05
44.0,3.914180475183796e-07,0.800137778457352,204.70789724865065,2.770377825023163e-05
46.0,3.916855019127606e-07,0.8001335727422805,204.70783652499625,2.7747636305154153e-05
48.0,3.9196538971900893e-07,0.8001293177852103,204.70777288393845,2.7793310669115067e-05
50.0,3.922577639298114e-07,0.8001250130663523,204.7077063134452,2.7840810833759792e-05
52.0,3.9256268000119855e-07,0.8001206580549753,204.7076368009094,2.7890146854274105e-05
54.0,3.928801958788683e-07,0.8001162522091995,204.7075643331429,2.794132932650118e-05
56.0,3.9321037202606737e-07,0.800111794975782,204.70748889636997,2.7994369380295976e-05
58.0,3.935532714528088e-07,0.8001072857898944,204.70741047622096,2.8049278680434552e-05
60.0,3.9390895974612395e-07,0.8001027240748932,204.70732905772516,2.810606943125235e-05
62.0,3.942775051021618e-07,0.8000981092420844,204.7072446253037,2.816475438281455e-05
64.0,3.946589783591056e-07,0.8000934406904782,204.70715716276186,2.8225346838494785e-05
66.0,3.950534530321027e-07,0.8000887178065411,204.70706665328126,2.8287860662949433e-05
68.0,3.9546100534923016e-07,0.8000839399639345,204.70697307941165,2.8352310290693095e-05
70.0,3.9588171428910944e-07,0.8000791065232512,204.70687642306223,2.8418710735265412e-05
72.0,3.963156616199184e-07,0.8000742168317408,204.70677666549278,2.8487077598576057e-05
74.0,3.9676293194035237e-07,0.8000692702230264,204.70667378730448,2.8557427080887014e-05
76.0,3.9722361272171567e-07,0.8000642660168166,204.70656776842992,2.86297759911556e-05
78.0,3.976977943517215e-07,0.8000592035186039,204.7064585881235,2.8704141757871915e-05
80.0,3.981855701805462e-07,0.8000540820193579,204.7063462249506,2.8780542440235706e-05
82.0,3.9868703656779453e-07,0.8000489007952076,204.706230656777,2.8858996739931806e-05
84.0,3.992022929317246e-07,0.8000436591071144,204.7061118607576,2.893952401327837e-05
86.0,3.9973144180027914e-07,0.8000383562005354,204.7059898133246,2.9022144284035184e-05
88.0,4.0027458886390885e-07,0.8000329913050769,204.70586449017574,2.910687825642734e-05
