t,chi_hhi_star,lambda2,total_weight,load_cv
0.0,3.907329168116203e-07,0.9997446814691264,256.0031603274315,0.0006427511665195102
2.0,3.9006424989326564e-07,0.8338556462092084,213.34496148142537,0.00026568122532560066
4.0,3.899710769277382e-07,0.8067773435341954,206.39634540303484,0.00012043614181122735
6.0,3.8997853470162786e-07,0.8015129970169168,205.04704095420067,5.947028630556331e-05
8.0,3.900150981781143e-07,0.8004544216298485,204.77655926541783,3.6221841546695954e-05
10.0,3.900670648607006e-07,0.800237885270053,204.72198876242322,2.921744290096592e-05
12.0,3.901316910635546e-07,0.80019120721104,204.71095579733287,2.7523686368733097e-05
14.0,3.9020842938248674e-07,0.8001788337853316,204.70871356082165,2.7149543264614142e-05
16.0,3.9029717972253713e-07,0.800173370186043,204.70824502373137,2.7074475340991458e-05
18.0,3.9039793510605184e-07,0.8001692733460337,204.70813258902527,2.7070150190904547e-05
20.0,3.905107095366855e-07,0.8001654193170186,204.70808984616463,2.7085256611475015e-05
22.0,3.906355232077873e-07,0.8001615790210416,204.7080589249179,2.710737407444838e-05
24.0,3.907723994316468e-07,0.8001577050880444,204.70802812891557,2.7133094294287252e-05
26.0,3.9092136399036196e-07,0.8001537872620454,204.70799509036922,2.716133059342846e-05
28.0,3.910824449978372e-07,0.8001498229609156,204.7079593258214,2.7191687984864937e-05
30.0,3.912556728753829e-07,0.800145811226926,204.70792073209887,2.722401079242656e-05
32.0,3.91441080355396e-07,0.8001417514591059,204.7078792824306,2.725823639195167e-05
34.0,3.91638702493379e-07,0.8001376431367285,204.70783496504782,2.729434115985799e-05
36.0,3.9184857668303104e-07,0.8001334857542347,204.70778777077578,2.7332318603801922e-05
38.0,3.9207074267368557e-07,0.8001292788038771,204.7077376905233,2.7372170051814418e-05
40.0,3.9230524258906763e-07,0.8001250217702405,204.70768471477214,2.741390058616059e-05
42.0,3.9255212094747646e-07,0.8001207141281625,204.70762883347027,2.7457517247216912e-05
44.0,3.9281142468295717e-07,0.8001163553417818,204.70757003600608,2.750302823757132e-05
46.0,3.9308320316823233e-07,0.8001119448640116,204.7075083111994,2.755044257000806e-05
48.0,3.9336750823820133e-07,0.800107482136181,204.707443647295,2.7599769913924455e-05
50.0,3.936643942154976e-07,0.800102966587751,204.70737603195698,2.765102053016822e-05
52.0,3.939739179365945e-07,0.8000983976360484,204.70730545226243,2.77042052457996e-05
54.0,3.942961387798122e-07,0.8000937746860158,204.7072318946955,2.7759335446719518e-05
56.0,3.946311186941522e-07,0.8000890971299561,204.70715534514045,2.7816423078621256e-05
58.0,3.9497892223011547e-07,0.8000843643472728,204.70707578887493,2.7875480651833808e-05
60.0,3.9533961657113555e-07,0.8000795757042057,204.7069932105627,2.793652124804972e-05
