alpha,N,absolute_mean_of_cell_chi_final_mean,relative_mean_of_cell_chi_final_mean,delta_rel_minus_abs,absolute_num_cells_aggregated,relative_num_cells_aggregated
1.74,64,0.16963205645111085,0.17725302419302574,0.007620967741914897,4,5
1.74,128,0.19581628224151285,0.19895298612480203,0.0031367038832891825,4,5
1.74,256,0.20606622170218836,0.20477208415297923,-0.0012941375492091234,4,5
1.8,64,0.17440411087122248,0.17725302419306496,0.002848913321842478,4,5
1.8,128,0.1969974578367893,0.19800802783095478,0.0010105699941654889,4,5
1.8,256,0.19253660186958757,0.2024191067908227,0.00988250492123513,4,5
