protocol,alpha,N,seed,amplitude_value,amplitude_label,effective_eta,run_stem,t_max,chi_final,chi_peak,t_peak,reached_onset_0p1,t_onset_0p1,not_reached_0p1,reached_onset_0p4,t_onset_0p4,not_reached_0p4
absolute,1.8,128,103,0.003,etaabs_3em03,0.003,absolute_a1p80_N128_seed103_etaabs_3em03,600.0,0.22829861111052058,0.7608466116926055,26.0,True,14.5,False,True,16.5,False
absolute,1.8,128,104,0.0001,etaabs_1em04,0.0001,absolute_a1p80_N128_seed104_etaabs_1em04,600.0,0.2046750992058177,0.761177369018651,373.5,True,340.5,False,True,346.0,False
absolute,1.8,128,104,0.0003,etaabs_3em04,0.0003,absolute_a1p80_N128_seed104_etaabs_3em04,600.0,0.20467509920581772,0.7663971524059758,146.5,True,119.0,False,True,123.5,False
absolute,1.8,128,104,0.001,etaabs_1em03,0.001,absolute_a1p80_N128_seed104_etaabs_1em03,600.0,0.18105158730111484,0.7903037641188062,58.5,True,39.0,False,True,41.0,False
absolute,1.8,128,104,0.003,etaabs_3em03,0.003,absolute_a1p80_N128_seed104_etaabs_3em03,600.0,0.15742807539641201,0.8171516373005532,45.0,True,15.0,False,True,16.5,False
absolute,1.8,128,105,0.0001,etaabs_1em04,0.0001,absolute_a1p80_N128_seed105_etaabs_1em04,600.0,0.18105158730111487,0.811119243074681,366.0,True,345.5,False,True,349.5,False
absolute,1.8,128,105,0.0003,etaabs_3em04,0.0003,absolute_a1p80_N128_seed105_etaabs_3em04,600.0,0.18105158730111487,0.7690349538668249,142.0,True,119.0,False,True,122.5,False
absolute,1.8,128,105,0.001,etaabs_1em03,0.001,absolute_a1p80_N128_seed105_etaabs_1em03,600.0,0.18105158730111487,0.8115617357615414,55.0,True,39.0,False,True,41.5,False
absolute,1.8,128,105,0.003,etaabs_3em03,0.003,absolute_a1p80_N128_seed105_etaabs_3em03,600.0,0.15742807539641201,0.8016616144885527,36.5,True,15.0,False,True,17.5,False
absolute,1.8,256,101,0.0001,etaabs_1em04,0.0001,absolute_a1p80_N256_seed101_etaabs_1em04,600.0,0.19606606791288583,0.8000712591163868,254.5,True,232.0,False,True,237.0,False
absolute,1.8,256,101,0.0003,etaabs_3em04,0.0003,absolute_a1p80_N256_seed101_etaabs_3em04,600.0,0.18430118110189161,0.8117636174058418,104.5,True,81.5,False,True,84.0,False
absolute,1.8,256,101,0.001,etaabs_1em03,0.001,absolute_a1p80_N256_seed101_etaabs_1em03,600.0,0.19018362450738874,0.7999094526807264,52.5,True,27.0,False,True,29.5,False
absolute,1.8,256,101,0.003,etaabs_3em03,0.003,absolute_a1p80_N256_seed101_etaabs_3em03,600.0,0.21959584153487427,0.7607707423947114,35.5,True,12.0,False,True,14.0,False
absolute,1.8,256,102,0.0001,etaabs_1em04,0.0001,absolute_a1p80_N256_seed102_etaabs_1em04,600.0,0.21959584153487427,0.7492225667586757,274.0,True,243.5,False,True,247.5,False
absolute,1.8,256,102,0.0003,etaabs_3em04,0.0003,absolute_a1p80_N256_seed102_etaabs_3em04,600.0,0.21959584153487424,0.7716020400179044,110.0,True,85.0,False,True,87.5,False
absolute,1.8,256,102,0.001,etaabs_1em03,0.001,absolute_a1p80_N256_seed102_etaabs_1em03,600.0,0.18430118110189161,0.8090209198213498,53.5,True,28.0,False,True,30.0,False
absolute,1.8,256,102,0.003,etaabs_3em03,0.003,absolute_a1p80_N256_seed102_etaabs_3em03,600.0,0.17841873769639455,0.8131214272904663,37.5,True,12.5,False,True,14.5,False
absolute,1.8,256,103,0.0001,etaabs_1em04,0.0001,absolute_a1p80_N256_seed103_etaabs_1em04,600.0,0.1607714074799032,0.8204740283136491,268.0,True,238.0,False,True,242.0,False
