protocol,alpha,N,seed,amplitude_value,amplitude_label,effective_eta,run_stem
relative,1.74,128,105,0.5,etarel_c0p50,0.0029133858267716534,relative_a1p74_N128_seed105_etarel_c0p50
relative,1.74,128,105,1.0,etarel_c1p00,0.005826771653543307,relative_a1p74_N128_seed105_etarel_c1p00
relative,1.74,256,101,0.05,etarel_c0p05,0.00014509803921568628,relative_a1p74_N256_seed101_etarel_c0p05
relative,1.74,256,101,0.1,etarel_c0p10,0.00029019607843137256,relative_a1p74_N256_seed101_etarel_c0p10
relative,1.74,256,101,0.2,etarel_c0p20,0.0005803921568627451,relative_a1p74_N256_seed101_etarel_c0p20
relative,1.74,256,101,0.5,etarel_c0p50,0.0014509803921568627,relative_a1p74_N256_seed101_etarel_c0p50
relative,1.74,256,101,1.0,etarel_c1p00,0.0029019607843137254,relative_a1p74_N256_seed101_etarel_c1p00
relative,1.74,256,102,0.05,etarel_c0p05,0.00014509803921568628,relative_a1p74_N256_seed102_etarel_c0p05
relative,1.74,256,102,0.1,etarel_c0p10,0.00029019607843137256,relative_a1p74_N256_seed102_etarel_c0p10
relative,1.74,256,102,0.2,etarel_c0p20,0.0005803921568627451,relative_a1p74_N256_seed102_etarel_c0p20
relative,1.74,256,102,0.5,etarel_c0p50,0.0014509803921568627,relative_a1p74_N256_seed102_etarel_c0p50
relative,1.74,256,102,1.0,etarel_c1p00,0.0029019607843137254,relative_a1p74_N256_seed102_etarel_c1p00
relative,1.74,256,103,0.05,etarel_c0p05,0.00014509803921568628,relative_a1p74_N256_seed103_etarel_c0p05
relative,1.74,256,103,0.1,etarel_c0p10,0.00029019607843137256,relative_a1p74_N256_seed103_etarel_c0p10
relative,1.74,256,103,0.2,etarel_c0p20,0.0005803921568627451,relative_a1p74_N256_seed103_etarel_c0p20
relative,1.74,256,103,0.5,etarel_c0p50,0.0014509803921568627,relative_a1p74_N256_seed103_etarel_c0p50
relative,1.74,256,103,1.0,etarel_c1p00,0.0029019607843137254,relative_a1p74_N256_seed103_etarel_c1p00
relative,1.74,256,104,0.05,etarel_c0p05,0.00014509803921568628,relative_a1p74_N256_seed104_etarel_c0p05
relative,1.74,256,104,0.1,etarel_c0p10,0.00029019607843137256,relative_a1p74_N256_seed104_etarel_c0p10
relative,1.74,256,104,0.2,etarel_c0p20,0.0005803921568627451,relative_a1p74_N256_seed104_etarel_c0p20
relative,1.74,256,104,0.5,etarel_c0p50,0.0014509803921568627,relative_a1p74_N256_seed104_etarel_c0p50
relative,1.74,256,104,1.0,etarel_c1p00,0.0029019607843137254,relative_a1p74_N256_seed104_etarel_c1p00
relative,1.74,256,105,0.05,etarel_c0p05,0.00014509803921568628,relative_a1p74_N256_seed105_etarel_c0p05
relative,1.74,256,105,0.1,etarel_c0p10,0.00029019607843137256,relative_a1p74_N256_seed105_etarel_c0p10
relative,1.74,256,105,0.2,etarel_c0p20,0.0005803921568627451,relative_a1p74_N256_seed105_etarel_c0p20
relative,1.74,256,105,0.5,etarel_c0p50,0.0014509803921568627,relative_a1p74_N256_seed105_etarel_c0p50
relative,1.74,256,105,1.0,etarel_c1p00,0.0029019607843137254,relative_a1p74_N256_seed105_etarel_c1p00
